id,country,poor
6211,C,0.6308186
77549,C,0.22455522
34834,C,0.5857989
74650,C,0.49162862
65375,C,0.36098564
68425,C,0.67499995
6142,C,0.3059851
95572,C,0.43385538
73658,C,0.28436568
31069,C,0.861823
9024,C,0.4347434
27893,C,0.6113604
74166,C,0.58650994
47343,C,0.5753733
21254,C,0.6326217
64173,C,0.63899744
76702,C,0.6809354
70905,C,0.88416433
59402,C,0.63577956
3184,C,0.23608181
60940,C,0.7830956
5321,C,0.18127128
53921,C,0.4010897
22329,C,0.60637844
64979,C,0.3337463
62337,C,0.6150722
28357,C,0.56044346
94493,C,0.7386554
67078,C,0.37502733
15625,C,0.7109971
92784,C,0.42640206
89328,C,0.6351473
40556,C,0.5040435
43770,C,0.095720105
71745,C,0.20489348
90045,C,0.5606716
79335,C,0.26930138
17909,C,0.78209555
36803,C,0.7035567
72962,C,0.74203515
46015,C,0.19675784
3995,C,0.9285618
85194,C,0.8588287
41992,C,0.9624633
602,C,0.6272633
13092,C,0.22969978
89172,C,0.71952015
78886,C,0.40349096
17546,C,0.51403266
25937,C,0.47384062
92159,C,0.47945994
84509,C,0.52197564
15136,C,0.8010324
14157,C,0.5909517
49185,C,0.37071
45307,C,0.9566948
42239,C,0.48978716
76311,C,0.49585822
9311,C,0.8193396
27146,C,0.722801
52338,C,0.1962181
70341,C,0.4318987
65457,C,0.47231686
54121,C,0.50202626
35786,C,0.6016589
87786,C,0.4084828
88819,C,0.46599266
6143,C,0.38369158
90762,C,0.6537494
61057,C,0.83345616
11848,C,0.33059785
9083,C,0.2282534
55716,C,0.73800933
54366,C,0.32735336
1120,C,0.6097933
97659,C,0.75132054
90036,C,0.35994518
66777,C,0.14407787
55925,C,0.66902536
25890,C,0.5713883
35122,C,0.8015269
75936,C,0.6237532
56267,C,0.8354
19797,C,0.43819487
47430,C,0.62663794
3881,C,0.53065497
70509,C,0.45569676
94943,C,0.6022519
12598,C,0.29507455
1453,C,0.83145946
56238,C,0.6338958
3982,C,0.2952923
33829,C,0.39176086
89082,C,0.2637674
19233,C,0.5844223
24425,C,0.5036252
29839,C,0.32350618
27882,C,0.51577234
30268,C,0.6823995
5884,C,0.51487225
56862,C,0.5960475
45255,C,0.7470405
25616,C,0.69199026
4110,C,0.856847
76875,C,0.58216816
85032,C,0.76760465
3001,C,0.66975105
39933,C,0.30967838
90245,C,0.14562073
34358,C,0.60811883
94041,C,0.42904806
24548,C,0.27808112
37852,C,0.48665407
54094,C,0.56741977
85968,C,0.48059934
63083,C,0.5830468
9513,C,0.63452697
78457,C,0.66477174
63337,C,0.25994486
62703,C,0.7295326
42488,C,0.6907861
5186,C,0.6135259
15091,C,0.18923083
7661,C,0.6577279
47899,C,0.5743223
78995,C,0.6857404
76672,C,0.3132979
25428,C,0.40767053
19844,C,0.18831824
91719,C,0.58252877
44442,C,0.53714347
88876,C,0.5076417
14416,C,0.7762779
79708,C,0.3745175
71281,C,0.12459058
65448,C,0.62172616
90672,C,0.4043022
95949,C,0.44322675
90886,C,0.59148425
85676,C,0.74710095
33273,C,0.39134964
70697,C,0.39197248
29101,C,0.7583251
62431,C,0.5026638
52242,C,0.48897976
45093,C,0.28101245
35018,C,0.2863651
30792,C,0.43175545
39546,C,0.093952544
21870,C,0.4771918
32975,C,0.6086609
92018,C,0.53448254
80666,C,0.29730722
25843,C,0.4546774
99486,C,0.8662211
41512,C,0.52588433
24253,C,0.7404757
46358,C,0.24454972
52505,C,0.54576445
79901,C,0.7548147
22446,C,0.6011732
57997,C,0.2980637
26433,C,0.50280654
97560,C,0.518583
52035,C,0.6290696
85389,C,0.4388404
60733,C,0.48607424
16015,C,0.35210934
37058,C,0.4927389
44143,C,0.71982676
8607,C,0.27692252
88527,C,0.2708153
70824,C,0.7357946
99845,C,0.48559922
45600,C,0.6636509
64487,C,0.84341305
60529,C,0.23162979
84101,C,0.6370072
36188,C,0.69810045
98371,C,0.58358186
10766,C,0.20916946
46597,C,0.3553414
62417,C,0.337361
68907,C,0.53219545
49641,C,0.6796128
99350,C,0.17562152
14154,C,0.27254307
34520,C,0.595029
40238,C,0.60113364
35105,C,0.40507945
31113,C,0.40777075
76542,C,0.50768393
41483,C,0.7470079
66005,C,0.7519946
12783,C,0.41093555
58448,C,0.7941143
63398,C,0.5323477
97435,C,0.26593944
36978,C,0.5265189
58931,C,0.60298103
76597,C,0.48489356
41131,C,0.41551024
42757,C,0.3547087
89904,C,0.38244903
61925,C,0.8192265
42948,C,0.8028851
48616,C,0.82577676
37981,C,0.36930567
24212,C,0.41148254
71821,C,0.6355764
20460,C,0.33536348
72436,C,0.512238
48372,C,0.82864666
4643,C,0.46539256
3744,C,0.85526556
22280,C,0.57707137
39860,C,0.7210359
31095,C,0.9017304
4889,C,0.72082293
56147,C,0.32362977
692,C,0.56115544
74933,C,0.82019424
70832,C,0.5354558
83874,C,0.76856256
20145,C,0.5962953
33215,C,0.58096826
64512,C,0.79665995
78604,C,0.6079323
45733,C,0.774319
54754,C,0.4542204
84722,C,0.7564133
8303,C,0.5554241
19707,C,0.23246557
74219,C,0.9303477
47448,C,0.34283406
81803,C,0.7479306
71373,C,0.5051037
87167,C,0.45578676
11932,C,0.1694858
77129,C,0.68749046
75818,C,0.2632916
3277,C,0.39119753
63696,C,0.7710548
36929,C,0.6978934
88381,C,0.6751276
8869,C,0.22116958
7856,C,0.57730174
76501,C,0.42694628
45256,C,0.39090794
83072,C,0.35752323
74609,C,0.5679812
92584,C,0.6607284
49088,C,0.62367547
62607,C,0.1563256
11571,C,0.41357034
49561,C,0.6771839
47219,C,0.6806757
12597,C,0.90169233
36272,C,0.0498198
75591,C,0.47306457
38869,C,0.14973958
90121,C,0.8745678
24297,C,0.6496834
4575,C,0.5759737
89240,C,0.31568092
76601,C,0.7046767
75162,C,0.39478338
83452,C,0.66525686
32509,C,0.8807968
1027,C,0.39633515
59762,C,0.30063108
94604,C,0.4872003
82176,C,0.65408313
21910,C,0.60494703
66621,C,0.54350615
34598,C,0.11897479
53978,C,0.78463256
11627,C,0.691901
89110,C,0.6338139
79672,C,0.6540143
96030,C,0.9803883
98246,C,0.6065288
22095,C,0.55290383
88815,C,0.30760685
32448,C,0.57041824
79147,C,0.1492466
24378,C,0.5073628
54468,C,0.48806345
17856,C,0.81838983
99235,C,0.29951733
29858,C,0.21226668
44780,C,0.14766674
67199,C,0.97287345
80283,C,0.8776134
94689,C,0.74647206
63714,C,0.60992384
97622,C,0.49688116
15366,C,0.5478151
55394,C,0.33054504
82107,C,0.7273408
8323,C,0.1227509
37155,C,0.6480372
13268,C,0.3233821
50258,C,0.5315326
32556,C,0.49641216
66891,C,0.13764443
76499,C,0.665989
